,Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,Model
78,Toyota,14299.0,sedan,83,2.0,Petrol,yes,2009,A3
79,Mercedes-Benz,28500.0,crossover,210,3.2,Diesel,yes,2007,Land Cruiser Prado
80,Mitsubishi,17000.0,crossover,89,3.8,Petrol,yes,2008,E-Class
81,Mercedes-Benz,25700.0,crossover,130,4.7,Gas,yes,2008,Lancer
82,Audi,2650.0,vagon,333,2.5,Diesel,no,2000,Caravelle
83,Mitsubishi,8500.0,sedan,116,1.5,Petrol,yes,2008,Polo
84,Mercedes-Benz,4000.0,sedan,405,2.0,Diesel,yes,1992,525
85,Renault,11000.0,other,131,1.5,Diesel,yes,2011,Kangoo
86,Mercedes-Benz,14500.0,sedan,138,2.0,Petrol,yes,2007,Megane
87,BMW,4099.0,sedan,50,2.5,Petrol,yes,1988,A8
88,Volkswagen,31500.0,crossover,1,2.0,Petrol,yes,2014,Avensis
89,Renault,4500.0,van,207,1.5,Diesel,yes,2003,GL 320
90,Volkswagen,6700.0,other,207,1.9,Diesel,yes,2004,Pajero Wagon
91,Mitsubishi,20800.0,crossover,31,2.4,Petrol,yes,2011,GL 350
92,Mercedes-Benz,107999.0,crossover,0,2.98,Diesel,yes,2016,GL 450
93,BMW,3500.0,sedan,334,2.0,Diesel,no,1999,A6
94,Audi,39000.0,sedan,18,1.8,Other,yes,2015,Lancer X
95,Toyota,13500.0,crossover,150,4.7,Gas,yes,2002,200
96,Mitsubishi,6150.0,sedan,175,1.6,Petrol,yes,2007,Kangoo
97,BMW,45500.0,crossover,76,4.4,Petrol,yes,2010,E-Class
98,BMW,4900.0,sedan,295,2.0,Petrol,yes,1994,520
99,BMW,47000.0,other,5,2.0,Petrol,yes,2014,Tiguan
100,Toyota,19200.0,crossover,190,2.7,Gas,yes,2005,Kangoo
101,Mitsubishi,11100.0,crossover,119,2.4,Gas,yes,2008,Caddy
102,Mitsubishi,8200.0,sedan,139,1.5,Other,yes,2012,Kangoo
103,Volkswagen,10300.0,sedan,235,2.0,Petrol,yes,2007,Outlander XL
104,Renault,11990.0,van,210,1.1,Diesel,yes,2010,GLS 350
105,BMW,46800.0,sedan,33,2.0,Diesel,yes,2014,320
106,Volkswagen,1500.0,other,260,1.8,Gas,no,1994,A5
107,BMW,6350.0,crossover,156,4.4,Gas,no,2002,Land Cruiser 100
108,Mercedes-Benz,8900.0,hatch,155,1.5,Petrol,yes,2005,Lancer
109,Mercedes-Benz,12700.0,van,160,3.0,Diesel,yes,2007,X6 M
110,Mitsubishi,8000.0,sedan,207,1.6,Gas,yes,2007,520
111,Toyota,29500.0,crossover,63,4.0,Petrol,yes,2008,Z4
112,Renault,7100.0,van,208,1.5,Diesel,yes,2008,Land Cruiser Prado
113,Renault,10850.0,crossover,103,2.5,Gas,yes,2010,Megane
114,Volkswagen,27000.0,sedan,57,2.0,Diesel,yes,2013,Outlander
115,Volkswagen,18100.0,other,64,2.0,Petrol,yes,2011,Lancer X
116,BMW,27000.0,sedan,137,5.0,Other,yes,2005,Passat B6
117,BMW,8990.0,other,300,2.2,Petrol,yes,2002,Scenic
118,Toyota,32900.0,crossover,82,2.7,Petrol,yes,2013,Galant
119,BMW,25500.0,other,163,4.8,Petrol,yes,2008,520
120,Toyota,8900.0,crossover,153,2.0,Petrol,yes,2003,Golf III
121,Audi,11950.0,sedan,190,3.0,Petrol,yes,2006,X5
122,Mercedes-Benz,22700.0,sedan,125,2.2,Diesel,yes,2010,S 350
123,BMW,13000.0,sedan,165,2.2,Gas,yes,2003,A 150
124,Audi,25000.0,other,60,2.0,Petrol,yes,2011,Vito
125,Toyota,26900.0,crossover,119,4.0,Gas,yes,2008,Lancer
126,Mercedes-Benz,87777.0,van,0,2.2,Diesel,yes,2016,FJ Cruiser
127,Volkswagen,6000.0,van,200,2.0,Diesel,yes,2008,Golf GTI
128,Audi,9800.0,vagon,257,2.5,Diesel,yes,2003,Kangoo
129,Audi,13900.0,other,197,2.0,Diesel,yes,2006,Koleos
130,Renault,12200.0,van,164,2.5,Diesel,yes,2009,T4 (Transporter)
131,Mercedes-Benz,13500.0,crossover,205,2.7,Diesel,yes,2005,Land Cruiser 200
132,BMW,18100.0,crossover,200,4.8,Petrol,yes,2005,Passat B7
133,BMW,33000.0,crossover,200,3.0,Diesel,yes,2010,Scirocco
134,Volkswagen,16900.0,crossover,145,1.4,Petrol,yes,2011,M5
135,Mercedes-Benz,22000.0,sedan,110,1.8,Petrol,yes,2011,320
136,Volkswagen,10700.0,sedan,195,3.2,Petrol,yes,2007,Venza
137,Mercedes-Benz,7800.0,sedan,226,2.2,Diesel,yes,2000,X5
138,Mercedes-Benz,17300.0,sedan,184,1.8,Gas,yes,2008,Rav 4
139,BMW,70000.0,sedan,16,3.0,Diesel,yes,2014,A6
140,Volkswagen,2200.0,hatch,118,1.4,Petrol,no,2001,E-Class
141,BMW,8900.0,sedan,256,2.2,Petrol,yes,2002,80
142,Mercedes-Benz,31600.0,sedan,33,1.6,Petrol,yes,2013,520
143,Volkswagen,7900.0,other,168,1.9,Diesel,yes,2006,A5
144,Toyota,28500.0,crossover,97,3.5,Petrol,yes,2012,Land Cruiser Prado
145,Renault,6900.0,van,140,1.5,Diesel,yes,2012,V 250
146,BMW,8850.0,vagon,280,2.5,Diesel,yes,2000,Caddy
147,Renault,3100.0,van,164,1.4,Petrol,yes,1999,A6
148,BMW,8900.0,sedan,250,2.5,Petrol,yes,2000,A6
149,Renault,6100.0,sedan,130,1.4,Petrol,yes,2005,Trafic
150,BMW,1400.0,sedan,260,1.8,Petrol,no,1996,ML 270
151,Volkswagen,8800.0,van,93,1.6,Diesel,yes,2012,X5
152,Renault,10299.0,other,176,2.0,Diesel,yes,2013,X5
153,Renault,6500.0,sedan,170,1.6,Petrol,yes,2004,Tiguan
154,Toyota,9100.0,sedan,151,1.6,Gas,yes,2007,C-Class
155,Volkswagen,9950.0,hatch,95,1.4,Petrol,yes,2010,Passat B6
156,Toyota,24500.0,crossover,260,4.7,Gas,yes,2003,E-Class
157,Audi,51500.0,crossover,27,3.0,Diesel,yes,2013,E-Class
158,Volkswagen,12900.0,van,290,1.9,Diesel,yes,2008,730
159,Mercedes-Benz,8000.0,van,250,2.2,Diesel,yes,2006,Lupo
160,Mitsubishi,8100.0,sedan,112,2.4,Petrol,yes,2007,5 Series
161,Renault,10100.0,van,164,2.0,Diesel,yes,2012,CLA 200
162,BMW,1900.0,sedan,300,2.5,Diesel,no,1997,T5 (Transporter)
163,Renault,10800.0,van,187,2.0,Diesel,yes,2012,Highlander
164,Audi,8000.0,sedan,234,4.2,Gas,no,2004,Kangoo
165,Mercedes-Benz,15300.0,other,120,2.6,Petrol,yes,2004,525
166,Volkswagen,2350.0,hatch,182,1.9,Diesel,no,1998,Kangoo
167,BMW,38888.0,vagon,5,0.65,Other,yes,2015,525
168,Toyota,99999.0,crossover,0,4.5,Diesel,yes,2016,Megane
169,Volkswagen,17650.0,sedan,110,1.8,Petrol,yes,2012,318
170,Volkswagen,12999.0,van,237,2.5,Diesel,yes,2005,Caddy
171,Mercedes-Benz,18500.0,other,90,1.8,Petrol,yes,2008,Trafic
172,Volkswagen,9200.0,sedan,195,2.0,Petrol,yes,2006,Megane
173,Volkswagen,14500.0,sedan,1,1.6,Other,yes,2016,S 500
174,Volkswagen,18000.0,vagon,18,1.6,Diesel,yes,2011,Corolla
175,Mercedes-Benz,6800.0,van,250,1.7,Diesel,yes,2003,Polo
176,BMW,20500.0,crossover,73,2.0,Petrol,yes,2011,Land Cruiser 100
177,BMW,28000.0,other,100,5.0,Petrol,yes,2005,Q7
178,Volkswagen,10650.0,van,130,2.0,Diesel,yes,2011,T5 (Transporter)
179,Volkswagen,20300.0,other,30,1.4,Petrol,yes,2013,Vito
180,Volkswagen,3000.0,vagon,267,1.9,Diesel,no,1999,Galant
181,Toyota,25250.0,crossover,112,4.5,Gas,yes,2007,Trafic
182,Mitsubishi,1389.0,hatch,245,1.3,Petrol,no,1996,5 Series
183,Mercedes-Benz,17600.0,sedan,174,4.0,Diesel,yes,2005,Trafic
184,Mercedes-Benz,14200.0,van,180,2.2,Diesel,yes,2007,A8
185,BMW,13700.0,crossover,270,4.6,Gas,yes,2004,CLK 240
186,Mercedes-Benz,23900.0,sedan,187,5.5,Petrol,yes,2007,Golf IV
187,Volkswagen,32000.0,sedan,144,3.6,Petrol,yes,2013,Passat CC
188,BMW,4599.0,sedan,267,2.0,Gas,yes,1991,I3
189,Volkswagen,2350.0,sedan,300,1.9,Diesel,no,1998,Colt
190,Audi,19999.0,vagon,160,2.0,Petrol,yes,2010,Land Cruiser 200
191,BMW,28900.0,sedan,78,2.0,Petrol,yes,2012,Passat B7
192,Volkswagen,3800.0,sedan,300,2.8,Gas,yes,1996,Multivan
193,Volkswagen,1800.0,other,300,1.3,Petrol,yes,1989,C-Class
194,Volkswagen,9700.0,sedan,201,2.0,Petrol,yes,2007,Passat B6
195,Mitsubishi,25342.2,other,1,2.5,Diesel,yes,2016,Polo
196,Volkswagen,24900.0,sedan,1,1.6,Diesel,yes,2016,Passat B7
197,Renault,4999.0,sedan,140,1.4,Petrol,yes,2011,Vaneo
198,BMW,4700.0,sedan,390,2.5,Petrol,yes,1991,X1
199,Mercedes-Benz,4999.0,sedan,1,2.8,Petrol,yes,1997,M5
200,Mercedes-Benz,9299.0,sedan,350,2.7,Diesel,yes,2000,T5 (Transporter) 
201,Mercedes-Benz,25000.0,sedan,130,5.5,Petrol,yes,2007,Scirocco
202,Mitsubishi,12900.0,crossover,148,3.0,Gas,yes,2008,Passat B5
203,Audi,9700.0,vagon,189,2.5,Diesel,yes,2003,Land Cruiser 100
204,Renault,10100.0,van,64,2.0,Diesel,yes,2014,Colt
205,BMW,2800.0,sedan,296,3.0,Diesel,no,2001,S 400
206,Mercedes-Benz,13500.0,van,350,2.9,Diesel,yes,2000,Vito
207,Mitsubishi,8900.0,hatch,125,1.8,Petrol,yes,2009,X5
208,Mercedes-Benz,109999.0,crossover,0,3.0,Diesel,yes,2016,S 550
209,Mercedes-Benz,11500.0,sedan,180,3.2,Gas,yes,2004,Golf IV
210,BMW,36900.0,crossover,82,3.0,Petrol,yes,2010,Passat CC
211,Toyota,33200.0,crossover,150,4.0,Gas,yes,2010,520
212,Volkswagen,10200.0,van,253,2.5,Diesel,yes,2008,Passat B5
213,Volkswagen,16999.0,sedan,0,1.6,Petrol,yes,2016,A4 Allroad
214,Toyota,10800.0,sedan,179,3.0,Gas,yes,2005,528
215,Mercedes-Benz,35500.0,other,99,2.99,Diesel,yes,2011,Passat B4
216,Volkswagen,9900.0,hatch,156,1.6,Petrol,yes,2007,A6
217,Renault,7900.0,vagon,91,1.5,Diesel,yes,2008,Golf II
218,Mercedes-Benz,13900.0,sedan,216,2.2,Diesel,yes,2007,Land Cruiser 200
219,Volkswagen,20000.0,sedan,102,1.8,Petrol,yes,2011,Passat B6
220,Toyota,28500.0,crossover,38,2.2,Diesel,yes,2015,L 200
221,Mitsubishi,7200.0,sedan,178,1.6,Petrol,yes,2007,Jetta
222,Mitsubishi,9000.0,crossover,200,2.0,Gas,yes,2006,Logan
223,Audi,36500.0,crossover,115,3.0,Diesel,yes,2010,Multivan
224,Volkswagen,8000.0,hatch,41,1.0,Petrol,yes,2012,525
225,Audi,43000.0,other,11,1.8,Petrol,yes,2015,E-Class
226,Toyota,13700.0,sedan,48,1.4,Diesel,yes,2013,E-Class
227,Toyota,7899.0,sedan,165,1.8,Gas,yes,2006,S 550
228,Renault,13999.0,van,180,2.0,Diesel,yes,2012,Pajero Sport
229,Volkswagen,10500.0,van,176,1.6,Diesel,yes,2012,A6
230,Volkswagen,20800.0,other,160,2.0,Diesel,yes,2012,Trafic
231,Mercedes-Benz,32000.0,crossover,176,3.2,Gas,yes,2003,730
232,Mercedes-Benz,14500.0,sedan,220,5.0,Petrol,yes,2004,Sprinter 312
233,Toyota,16900.0,hatch,20,1.6,Petrol,yes,2014,Lancer X Sportback
234,Mercedes-Benz,13600.0,van,172,2.2,Diesel,yes,2013,GLS 350
235,Audi,2600.0,vagon,273,2.5,Diesel,no,1999,E-Class
236,BMW,12000.0,sedan,237,3.0,Diesel,yes,2003,X6
237,Volkswagen,18800.0,vagon,106,1.6,Diesel,yes,2013,Land Cruiser Prado
238,Toyota,35500.0,crossover,85,3.0,Diesel,yes,2012,T5 (Transporter)
239,Mercedes-Benz,29900.0,other,71,5.5,Petrol,yes,2007,Jetta
240,Renault,6750.0,other,110,1.5,Diesel,yes,2012,Camry
241,BMW,34900.0,crossover,117,3.0,Petrol,yes,2011,E-Class
242,Volkswagen,7700.0,van,177,1.9,Diesel,yes,2008,Golf Plus
243,Renault,9250.0,vagon,220,1.5,Diesel,yes,2010,Scenic
244,Renault,8400.0,hatch,84,1.5,Diesel,yes,2011,E-Class
245,Toyota,11750.0,sedan,93,1.6,Petrol,yes,2013,Passat CC
246,Mercedes-Benz,5800.0,van,368,2.2,Diesel,yes,2000,Rav 4
247,Toyota,5900.0,crossover,180,3.0,Diesel,no,2003,Lancer
248,BMW,44999.0,crossover,87,3.0,Diesel,yes,2011,Outlander
249,Volkswagen,10500.0,van,170,1.6,Diesel,yes,2013,Q7
250,Mercedes-Benz,17900.0,sedan,190,3.0,Diesel,yes,2007,Up
251,Audi,9999.0,sedan,190,3.0,Petrol,yes,2007,A6
252,Audi,9999.0,sedan,190,2.5,Diesel,yes,2003,Corolla
253,Volkswagen,61000.0,crossover,2,3.0,Diesel,yes,2016,Avensis
254,Toyota,38300.0,crossover,130,5.7,Gas,yes,2009,Trafic
255,Toyota,17700.0,sedan,30,1.6,Petrol,yes,2014,Caddy
256,Volkswagen,55555.0,van,50,2.0,Diesel,yes,2013,S 550
257,BMW,18000.0,crossover,280,3.0,Diesel,yes,2005,Amarok
258,Renault,7600.0,other,125,1.5,Diesel,yes,2013,Passat B3
259,Renault,6900.0,sedan,68,1.5,Diesel,yes,2013,G 320
260,Renault,15635.1,vagon,0,1.5,Diesel,yes,2016,S 500
261,Renault,10550.0,van,195,2.0,Diesel,yes,2011,Auris
262,Volkswagen,12500.0,van,190,1.9,Diesel,yes,2008,Vito
263,Audi,13000.0,sedan,157,3.0,Petrol,yes,2006,A6
264,BMW,7400.0,sedan,285,4.4,Gas,yes,1997,V 250
265,Renault,9500.0,hatch,100,1.5,Diesel,yes,2009,530
266,Audi,18800.0,crossover,197,4.2,Petrol,yes,2007,Jetta
267,Toyota,8000.0,sedan,176,3.0,Petrol,yes,2002,Passat B7
268,Volkswagen,8700.0,vagon,250,1.9,Diesel,yes,2002,Land Cruiser Prado
269,Mercedes-Benz,9999.0,crossover,300,3.2,Petrol,yes,1998,CL 500
270,Volkswagen,16700.0,sedan,175,2.0,Petrol,yes,2011,Kangoo
271,Toyota,13900.0,hatch,90,1.6,Petrol,yes,2012,Land Cruiser 200
272,Volkswagen,18700.0,other,145,2.0,Diesel,yes,2011,X5
273,Mitsubishi,6200.0,sedan,152,1.6,Petrol,yes,2006,T5 (Transporter) 
274,Renault,3600.0,van,22,1.9,Diesel,yes,2001,Megane
275,Renault,7500.0,vagon,98,1.4,Petrol,yes,2007,Kangoo
276,Renault,2300.0,van,200,1.9,Diesel,yes,2002,Corolla
277,Volkswagen,16900.0,crossover,133,2.5,Diesel,yes,2007,Vito
278,Mitsubishi,13499.0,crossover,116,2.4,Petrol,yes,2008,Land Cruiser Prado
279,Renault,5700.0,van,180,1.5,Diesel,yes,2007,X6
280,Mitsubishi,17900.0,crossover,140,3.8,Gas,yes,2007,Caddy
281,Volkswagen,13900.0,other,170,1.9,Diesel,yes,2006,E-Class
282,Audi,7950.0,vagon,167,2.5,Diesel,yes,2000,A6
283,BMW,9700.0,sedan,250,2.0,Petrol,yes,2003,A6
284,Volkswagen,7500.0,sedan,240,1.8,Petrol,yes,2002,Master
285,Audi,19999.0,crossover,117,4.2,Petrol,yes,2007,Touareg
286,BMW,9100.0,sedan,230,2.0,Gas,yes,2004,Land Cruiser 200
287,Volkswagen,13300.0,hatch,73,1.4,Petrol,yes,2011,Corolla
288,Volkswagen,21000.0,hatch,22,1.2,Other,yes,2014,Corolla
289,Audi,6600.0,sedan,360,1.8,Petrol,yes,1998,Multivan
290,Audi,7600.0,vagon,226,3.0,Diesel,no,2006,X5
291,Mercedes-Benz,3500.0,hatch,258,1.7,Diesel,no,2002,Kangoo
292,Volkswagen,3500.0,sedan,3,1.8,Petrol,yes,1991,Logan
293,Mercedes-Benz,17900.0,van,167,2.2,Diesel,yes,2012,Dokker
294,Renault,1950.0,vagon,286,1.9,Diesel,no,2001,Trafic
295,Volkswagen,7990.0,sedan,90,1.4,Petrol,yes,2003,T5 (Transporter)
296,Volkswagen,6500.0,sedan,320,1.9,Diesel,yes,2001,A6
297,Mitsubishi,3500.0,sedan,300,2.0,Diesel,yes,1996,540
298,Toyota,14100.0,sedan,113,2.4,Gas,yes,2009,A8
299,Toyota,2999.0,other,300,1.6,Petrol,yes,1991,Megane
300,BMW,66900.0,crossover,70,3.0,Diesel,yes,2014,Q7
301,Toyota,13100.0,sedan,200,3.5,Gas,yes,2006,Camry
302,Volkswagen,6900.0,sedan,300,1.8,Petrol,yes,1998,Passat B5
303,Volkswagen,23999.0,sedan,80,2.0,Diesel,yes,2014,ML 320
304,Mitsubishi,6990.0,crossover,225,2.5,Petrol,yes,1997,Passat CC
305,Toyota,13999.0,sedan,198,2.4,Gas,yes,2009,Auris
306,Renault,7600.0,van,108,1.0,Diesel,yes,2013,T5 (Transporter) 
307,Renault,11100.0,vagon,180,1.5,Diesel,yes,2012,Lancer
308,Mercedes-Benz,16500.0,other,260,2.2,Diesel,yes,2011,Vito
309,Mercedes-Benz,44000.0,other,82,5.5,Petrol,yes,2010,Kangoo
310,Audi,39900.0,other,12,1.8,Petrol,yes,2014,Kangoo
311,Mercedes-Benz,20500.0,sedan,173,1.8,Gas,yes,2011,Kangoo
312,BMW,8000.0,crossover,214,4.4,Petrol,no,2000,Touareg
313,BMW,11600.0,sedan,142,2.0,Petrol,yes,2005,Outlander XL
314,Renault,11500.0,vagon,170,1.5,Diesel,yes,2012,Kangoo
315,Volkswagen,13700.0,other,103,2.0,Diesel,yes,2011,Kangoo
316,Mercedes-Benz,13700.0,van,198,3.2,Gas,yes,2006,Pajero Wagon
317,Renault,7700.0,vagon,200,1.5,Diesel,yes,2007,Passat B5
318,Mercedes-Benz,5800.0,sedan,231,2.2,Petrol,yes,1994,Multivan
319,Volkswagen,9500.0,sedan,95,2.0,Petrol,yes,2007,A6
320,Mercedes-Benz,24900.0,sedan,140,5.5,Petrol,yes,2009,318
321,Volkswagen,55500.0,crossover,47,3.0,Diesel,yes,2016,Passat B5
322,Volkswagen,6500.0,van,186,2.8,Petrol,yes,2000,Q7
323,Mercedes-Benz,8300.0,sedan,175,3.2,Diesel,no,2006,318
324,Mitsubishi,12000.0,crossover,130,3.0,Gas,yes,2007,Kangoo
325,Mercedes-Benz,15000.0,crossover,185,3.7,Gas,yes,2005,Golf VI
326,BMW,8100.0,sedan,246,3.0,Diesel,yes,2000,Golf VII
327,Renault,8000.0,sedan,175,2.0,Gas,yes,2005,A6
328,Mercedes-Benz,5500.0,van,285,2.3,Diesel,yes,1999,A6
329,Renault,9600.0,vagon,184,1.5,Diesel,yes,2011,A 170
330,BMW,10800.0,sedan,180,2.0,Petrol,yes,2002,Passat B3
331,Mercedes-Benz,10999.0,van,263,2.2,Diesel,yes,2005,Vito
332,BMW,44000.0,crossover,80,3.0,Diesel,yes,2012,Laguna
333,Toyota,19200.0,hatch,54,1.4,Other,yes,2012,New Beetle
334,Mercedes-Benz,19600.0,van,127,1.8,Diesel,yes,2013,Touareg
335,Volkswagen,9000.0,sedan,135,1.6,Gas,yes,2011,Passat B5
336,BMW,10900.0,sedan,245,3.0,Diesel,yes,2003,Galant
337,Volkswagen,12900.0,van,180,2.0,Diesel,yes,2012,Camry
338,BMW,6600.0,sedan,285,2.5,Petrol,yes,1999,Corolla
339,Renault,15820.35,sedan,0,1.5,Diesel,yes,2016,X5
340,Toyota,10200.0,sedan,180,2.4,Petrol,yes,2003,Camry
341,Mercedes-Benz,6000.0,sedan,366,3.2,Gas,yes,1994,Passat B5
342,Audi,3500.0,sedan,1,2.0,Other,yes,1988,Passat B7
343,Volkswagen,7800.0,van,380,2.5,Diesel,yes,1999,Pajero
344,Toyota,35900.0,crossover,84,3.0,Diesel,yes,2013,Camry
345,Renault,11700.0,crossover,90,1.5,Diesel,yes,2011,Kangoo
346,Volkswagen,15200.0,crossover,58,2.0,Petrol,yes,2008,Megane
347,Mercedes-Benz,2500.0,sedan,111,2.3,Gas,yes,1992,Sprinter 319
348,Volkswagen,16800.0,other,164,2.0,Diesel,yes,2010,GLS 63
349,BMW,50499.0,sedan,128,3.0,Diesel,yes,2013,S 500
350,BMW,2250.0,sedan,300,2.5,Petrol,no,1997,A5
351,Mercedes-Benz,9300.0,sedan,270,2.7,Diesel,yes,2001,E-Class
352,Toyota,11500.0,van,161,2.5,Diesel,yes,2002,X5
353,BMW,13000.0,sedan,304,4.4,Other,yes,2002,320
354,Mercedes-Benz,7500.0,sedan,319,3.2,Gas,yes,1997,100
355,Mercedes-Benz,17999.0,other,38,2.0,Petrol,yes,2009,Megane
356,Renault,7300.0,vagon,162,1.5,Diesel,yes,2006,Passat B6
357,Toyota,29900.0,crossover,117,3.0,Diesel,yes,2008,Viano
358,Renault,4950.0,vagon,170,1.5,Diesel,yes,2004,Megane
359,Audi,36000.0,vagon,40,3.0,Diesel,yes,2010,E-Class
360,Audi,1700.0,sedan,177,1.6,Petrol,no,1996,Passat B6
361,Audi,12450.0,vagon,1,2.0,Diesel,yes,2008,S 550
362,Volkswagen,13893.75,sedan,0,1.6,Petrol,yes,2016,Touareg
363,Volkswagen,44600.0,crossover,60,3.0,Diesel,yes,2013,Sharan
